marketing_spend,advertising_spend,website_traffic,number_of_customers,product_price,discount_percentage,previous_revenue,revenue
17612.16,7108.31,149368.94,3675.8,267.7,21.51,248761.49,192242.61
6343.66,16360.93,99564.7,1494.0,352.64,3.99,65258.64,71964.17
34541.82,10570.95,15424.42,1130.85,322.62,44.9,124286.71,99372.22
44257.66,24092.31,163648.87,2068.09,389.0,11.19,292669.77,198657.08
6788.41,6977.75,123160.11,3227.96,66.52,3.58,465475.0,247830.77
36164.32,21305.66,112397.33,2979.98,425.02,23.83,371102.33,236608.8
25998.15,8455.96,96202.82,2320.54,322.71,34.74,356317.71,207504.14
41323.86,19930.9,97164.42,3368.12,199.29,26.61,145099.37,180293.47
43483.27,21394.01,94658.13,685.47,24.63,34.38,343992.76,190467.6
26079.3,19647.7,110716.18,3325.51,191.67,38.45,355216.98,223024.89
17286.48,15242.82,95578.5,1500.58,184.43,25.0,260951.23,132568.66
42454.37,25045.07,83544.95,2519.49,427.1,17.7,199557.13,192589.17
25019.68,11995.15,25190.86,947.47,373.15,35.28,248577.23,149099.81
28207.53,21143.64,107756.08,946.48,142.84,49.24,122454.6,89898.88
24823.41,11117.86,107489.25,1572.43,352.25,32.8,89309.76,84174.07
44369.56,18235.91,56608.46,938.22,312.46,1.73,108765.17,106322.07
20326.87,20036.64,50027.57,2066.59,41.24,21.04,415826.91,206128.66
27059.37,19108.97,95645.62,3248.91,60.22,48.71,339740.41,193813.94
7426.6,17319.93,58193.99,1199.34,481.35,38.21,151743.03,106675.49
44399.55,9667.49,132021.94,2792.49,25.82,33.75,217565.8,157610.67
43519.21,21938.58,136456.41,3575.04,36.0,41.1,94293.59,148234.71
9232.04,13471.9,150837.73,1262.77,53.73,44.66,41777.13,68008.25
29672.24,15884.48,61237.5,536.03,394.83,10.49,38777.52,77611.31
14951.28,9883.93,81511.0,1566.03,47.36,48.68,165171.27,93015.15
13902.55,6584.6,144370.71,3439.49,216.63,42.36,417897.25,232135.53
49060.24,18337.97,114207.65,738.79,282.33,6.21,456578.2,230021.19
38484.94,11022.81,24016.17,731.83,20.19,8.38,164983.04,114698.95
32975.8,23108.4,137019.24,1105.22,23.64,11.69,333593.0,171600.98
46812.93,20404.28,134165.88,3188.51,364.14,20.11,403091.06,291040.79
35223.0,8090.34,54650.12,2944.42,439.03,47.85,226936.55,175227.15
44575.79,23449.54,111530.78,3161.32,16.93,30.94,218758.91,170651.6
17537.0,4179.47,79639.37,1772.12,426.3,32.28,415798.62,206280.29
48982.92,14825.38,138618.74,3283.07,228.91,12.68,65844.72,168992.29
28375.04,12383.54,68674.08,2123.89,263.42,3.12,286439.07,162632.13
22025.84,5898.77,120400.19,2663.22,61.61,47.78,445360.03,210165.25
18684.24,12940.69,142494.24,902.69,314.66,1.12,71768.61,78399.29
46483.69,15651.62,77372.74,525.33,425.12,15.72,72647.74,104348.68
21713.97,17882.44,129090.14,2180.18,254.19,27.9,141973.73,137124.36
48489.64,22178.79,139702.89,869.48,467.2,10.92,440136.24,249008.5
43283.39,22899.84,64138.66,2995.16,478.88,42.5,90260.6,132534.93
3615.71,17315.14,106388.36,826.2,11.04,39.15,163092.46,84323.35
25212.94,20868.94,24202.0,538.06,421.97,39.23,372947.21,198032.09
35558.35,8136.02,13389.11,1334.73,96.76,9.47,386305.98,193345.85
13294.57,7154.85,24529.53,611.16,426.65,39.96,342266.55,122620.68
8859.08,18241.2,112727.26,1358.28,441.49,28.73,380825.2,188663.66
45294.69,16035.23,56631.76,663.01,142.21,45.73,132181.49,112756.9
20918.61,18321.41,151326.73,2034.04,498.44,48.08,140663.03,132433.38
13369.38,8872.46,129471.21,1837.02,127.94,9.03,218607.47,139693.58
1692.11,16565.82,109819.35,1470.29,339.88,37.04,131095.18,98570.04
16242.13,8406.8,68060.12,2580.04,488.11,23.32,35416.82,117273.6
10252.98,13919.38,158011.24,2461.34,427.01,12.93,188789.35,146099.22
13227.86,4773.86,121185.45,2457.17,409.26,24.62,76182.02,109403.51
44258.45,10218.61,138008.23,3151.02,234.25,38.63,452325.95,281535.66
28779.95,8135.66,22896.15,2344.13,362.02,33.79,356886.81,192471.95
25115.51,12615.91,112843.54,2605.41,147.89,31.74,123499.48,126963.67
39354.03,12804.93,67760.9,2629.17,296.92,39.5,248035.92,200034.65
32481.68,8801.24,155209.86,3718.49,80.4,24.75,110124.06,181235.43
46570.16,26468.12,55766.3,992.25,84.45,24.83,361520.39,159754.71
8464.01,5243.16,149636.66,1090.67,397.13,37.89,287738.81,107075.94
39234.77,23623.52,27059.31,2841.68,76.13,3.65,446833.07,289898.4
42477.45,20584.79,156207.46,2751.71,297.38,31.21,207322.37,186684.81
19686.1,15019.65,119063.54,1458.95,412.19,27.05,425689.07,197571.01
5250.54,3612.58,131784.56,1290.83,459.98,10.17,435239.72,185060.86
8372.25,19936.86,120443.61,3583.37,449.69,2.17,390176.03,274688.05
49344.81,20005.06,82889.25,1750.23,128.16,49.93,132506.05,130813.23
49267.29,17181.22,19232.51,2982.72,397.1,26.73,25416.22,121137.01
27622.15,23266.53,101065.03,1731.78,381.65,0.15,274084.65,158368.55
18405.67,18722.01,111106.65,2071.05,172.34,45.1,82701.33,105903.11
26099.91,22956.29,60514.86,1112.59,77.83,27.56,344125.93,198054.9
10102.54,12839.44,18572.35,344.57,317.22,4.92,437443.68,175723.78
9837.33,14991.9,84627.31,2313.95,227.05,40.54,82230.64,99638.99
35032.11,19866.44,39705.74,1242.63,372.83,43.19,377592.98,199538.36
48468.86,10240.79,37151.12,2654.63,270.11,31.81,241051.26,163981.48
6874.08,16967.79,148537.22,2409.29,111.33,22.94,66468.11,96140.98
46465.05,14299.71,118400.82,1146.72,333.39,11.54,226272.71,151271.04
15859.18,20962.14,99327.1,2510.19,184.75,21.88,43534.98,107170.39
17482.67,17214.89,62353.33,1076.98,301.63,38.11,78334.93,87197.81
31714.42,10340.61,98009.46,1518.18,441.3,18.08,291836.48,179976.75
7723.35,14190.73,48348.02,3092.29,237.5,17.26,307407.4,194009.49
30909.96,23398.96,55353.42,2879.8,177.13,36.7,252086.77,216388.76
20200.05,20316.41,152038.05,3175.6,363.91,16.47,206857.44,186563.5
8870.52,13942.59,109245.81,2146.1,260.1,32.8,136159.09,130277.99
16794.6,19431.84,64247.6,3071.58,183.31,5.54,78489.31,157297.36
5723.16,11589.42,139062.25,2141.92,346.27,21.37,362259.15,219933.0
26720.61,8830.73,79023.96,705.52,24.3,25.81,434536.27,219156.43
11779.68,5714.39,32780.12,1539.62,48.01,14.85,346531.02,162106.38
31239.3,24185.4,91761.61,1637.28,300.48,6.41,240829.29,192293.55
7850.05,13821.5,122786.5,3264.86,337.05,2.18,117000.38,144224.17
15386.09,13092.75,96243.11,2215.12,122.93,18.39,60628.02,90853.25
1932.67,11014.37,40378.7,432.46,358.84,17.82,440448.21,168314.02
17348.25,20120.04,93312.43,1428.54,483.33,19.12,446835.92,203742.5
29036.0,20123.78,114402.45,3546.54,413.76,0.83,392446.83,228729.73
18715.27,18625.59,145904.32,866.61,259.85,31.34,464885.32,222478.86
36120.84,11256.0,24590.19,1717.71,107.69,0.83,341804.62,162894.78
18253.9,10222.83,111009.69,2125.48,237.12,48.78,252095.99,136507.58
10931.21,6038.13,105387.34,2371.56,472.59,14.63,302965.77,174941.53
1196.15,8908.45,107096.23,772.52,74.31,30.55,272833.22,103334.19
41559.29,15925.2,81423.91,1556.99,17.89,22.79,303754.79,207423.85
42590.81,22585.94,89347.0,2088.14,379.48,2.62,402143.75,255384.81
32272.95,9341.3,85441.22,2425.19,264.99,17.73,39590.47,110765.55
32842.48,13051.76,47991.94,1989.53,173.91,40.47,448040.0,248549.17
9200.88,14063.93,81925.43,2870.86,371.57,21.05,165808.78,142430.18
26550.72,23856.4,58135.61,1189.85,445.07,48.6,30491.44,92348.57
35771.36,10108.62,15758.34,1601.72,138.86,38.06,434568.43,189222.6
38475.37,26937.94,129553.84,3482.3,12.43,38.66,266915.04,211096.68
3039.09,11882.5,38215.9,1715.59,380.51,41.08,467446.91,199256.96
37799.43,9535.25,103842.12,2325.32,77.23,15.86,441190.16,218529.01
17887.4,4145.63,120888.32,2806.85,250.06,28.72,492965.59,215280.23
41170.63,10893.56,65002.06,678.25,493.28,0.78,360070.33,215545.5
10205.07,8542.96,27053.55,854.18,143.6,21.26,482809.41,183988.01
22665.28,5407.78,60058.93,2247.37,56.64,15.32,210107.2,167618.31
45851.0,25488.11,81146.22,2922.63,338.91,0.03,184109.22,208622.86
11740.27,10092.35,146592.97,1659.99,18.84,31.2,492645.03,176737.25
15121.77,19976.22,59502.77,1749.51,365.57,31.28,140305.11,136246.37
48371.43,17210.51,54372.99,1582.23,297.15,4.32,408469.98,224837.54
15761.55,13463.42,122715.27,967.05,436.56,38.89,281042.99,152936.56
46908.46,11096.58,100967.29,3470.52,315.84,42.85,357919.08,247236.14
36996.43,23863.97,167545.35,2968.51,230.09,29.35,78002.14,167650.35
4290.63,7584.29,84989.5,2107.38,361.24,10.81,308272.26,182510.84
27201.12,13772.46,140395.85,2183.04,479.59,39.4,131716.62,148041.93
13409.52,6483.26,36597.28,2785.04,454.42,2.22,151805.82,126418.99
11863.16,8786.98,113747.13,3156.98,472.07,33.57,157919.01,160418.41
46532.87,23924.03,32348.97,2975.56,133.51,19.13,146548.34,165785.98
32560.26,14303.63,56650.59,882.61,471.36,40.38,267520.19,124576.85
48818.98,25055.6,36012.97,2483.67,391.77,14.63,101668.97,172934.6
31366.02,14372.77,46758.13,1110.58,236.58,20.39,295469.33,129006.18
14694.88,9358.84,65458.93,485.05,347.82,35.8,492185.82,193927.75
37514.99,19222.39,64733.98,758.07,441.03,40.65,250106.79,171634.8
24328.5,11441.88,118203.16,3284.96,140.77,9.73,34389.75,135977.67
21563.27,17759.82,91186.89,3263.55,114.66,44.3,176550.04,171134.92
22817.58,12422.66,62684.3,3306.94,267.84,34.25,119810.05,143831.76
42269.87,27326.51,141981.82,3163.08,465.23,47.88,156421.58,192638.58
39057.75,20283.49,39947.4,2483.26,413.53,15.99,222622.87,190979.76
2926.65,4068.08,90896.53,2627.89,231.89,33.33,481538.11,250643.49
42579.46,11848.71,46097.96,3015.32,455.42,42.29,94477.24,120869.61
7830.47,19983.91,157822.58,3403.79,77.14,1.19,324397.23,200081.98
41185.13,9177.28,71960.13,2340.63,240.88,28.28,58683.28,107360.73
23312.25,20510.41,29436.7,2543.45,422.97,21.01,417473.59,245635.24
24481.91,5443.34,83889.88,2874.74,240.64,46.6,330231.71,204318.12
35598.83,24508.64,125582.1,729.52,60.17,7.82,311163.49,184825.58
18036.01,11401.97,91461.44,3416.32,368.13,37.04,145643.89,132875.29
19174.7,15630.51,85688.71,907.99,348.64,21.63,265546.43,125520.49
46170.77,22513.94,140080.65,3086.93,151.65,46.77,415926.05,291863.35
45042.03,10214.1,24904.1,872.06,329.04,25.52,458921.88,229779.06
35211.32,14589.99,54471.48,545.11,364.12,17.47,212802.56,141624.65
30862.04,24782.19,74147.96,2538.73,186.01,48.71,340307.46,184813.46
12203.63,17292.33,70747.67,3316.2,425.26,25.15,475917.71,255686.8
44622.93,11636.5,50310.4,1616.2,48.4,8.07,236847.93,147338.97
10239.44,21582.17,66217.6,2507.69,346.39,20.89,280291.0,154773.75
25876.17,17938.97,43994.77,1138.69,136.6,1.05,51652.96,82152.41
46848.5,27604.33,115399.41,3116.23,49.13,14.68,59887.69,145870.91
16422.73,14185.61,144994.22,2754.65,122.94,21.15,145745.21,138714.51
3683.93,1853.96,44342.28,754.81,443.27,43.31,356590.4,132559.24
33928.77,23074.68,137798.03,1647.48,261.99,43.33,173470.9,123169.85
33157.18,14634.93,41576.42,2222.06,307.91,16.24,246818.07,177395.57
33291.2,19946.62,164571.91,2919.23,341.09,8.56,183839.28,204154.02
38295.85,23252.64,80991.44,1411.59,322.4,7.78,101236.95,136504.85
20837.89,10701.54,118683.33,919.45,407.62,21.95,333116.88,180268.37
45744.53,10795.31,121847.12,3017.36,253.48,12.57,465425.19,301448.26
31870.58,9907.26,73970.9,2255.09,21.09,30.67,473469.99,241408.27
1226.32,3722.79,33471.53,3063.85,29.3,0.38,297059.3,170214.42
7583.98,16728.2,32460.63,2428.14,302.51,29.28,323633.78,176667.06
9656.68,14064.66,51909.34,3195.0,269.22,20.83,85379.29,106280.24
43342.8,27557.46,28734.82,685.22,93.22,12.63,399040.65,208180.49
49971.04,19542.34,149784.65,2300.39,61.72,2.07,499194.86,233921.02
36448.14,25591.43,32220.4,2518.98,254.75,46.27,41623.71,152230.89
14292.43,9631.38,130852.31,1235.87,422.01,33.66,419751.92,187996.27
19104.08,13421.69,88219.24,2227.33,299.73,31.3,70676.06,100956.33
27882.09,13148.38,30549.5,1338.67,139.39,46.54,292138.12,173769.62
38049.92,25978.75,85791.32,3069.04,213.06,5.23,371539.21,237511.39
42494.85,19932.05,65137.09,719.72,406.54,8.94,120257.85,138088.14
2036.64,5002.42,124736.58,1321.98,30.84,34.85,200758.09,100445.25
36182.29,15029.53,64705.16,2160.83,229.05,40.61,402642.11,229121.75
45539.68,19653.7,150311.99,3367.6,465.97,40.53,66121.53,174071.75
36114.52,8325.88,94229.82,2742.32,426.01,24.24,27329.15,141192.02
8510.93,19369.11,20560.47,1923.06,268.93,40.7,110730.77,101788.58
26457.93,8034.62,19245.88,1682.62,304.17,27.58,34232.32,96414.69
7665.34,2231.4,58903.16,2954.11,307.04,7.3,61120.73,126576.82
41503.96,23425.46,135947.11,2237.11,114.14,6.52,336060.81,229535.55
22419.27,9346.84,91434.64,980.09,33.11,26.47,47794.52,62600.8
42486.88,27693.81,122132.99,1314.07,234.91,49.09,420198.65,222942.64
34748.86,10570.64,91185.52,2802.36,164.61,43.59,201970.79,186456.93
33306.4,8660.99,52783.35,3149.54,180.45,40.1,419533.12,266595.74
23951.86,15225.13,137318.79,1957.0,461.42,26.01,361019.47,178182.61
30557.03,26058.7,27929.05,379.96,160.71,16.9,370501.67,157093.23
22473.68,6357.09,144905.57,3102.42,340.22,27.15,371811.32,249065.16
24110.37,22463.44,150358.55,2360.75,67.28,29.52,74082.97,117392.78
49971.67,16100.51,52751.47,441.98,412.62,8.62,75624.36,89298.83
27483.36,20404.11,82803.16,3114.12,409.78,25.14,66592.86,126643.53
16581.56,15074.42,124964.88,1258.39,169.93,41.47,289826.98,135064.09
21391.92,14992.14,119858.78,1396.68,31.84,30.61,199526.98,135156.43
19460.03,21661.96,115081.47,1610.78,167.38,29.08,287120.12,155355.7
31308.47,9406.71,137698.58,2472.56,351.19,10.66,182092.12,123944.01
38021.44,18273.29,158697.53,2158.26,274.18,0.21,140226.04,155621.3
12108.23,16034.16,65298.1,450.27,239.86,29.88,481670.94,187240.28
33480.35,9121.98,108434.36,2615.24,199.31,15.18,480777.98,283308.49
47177.81,11938.1,87852.59,3334.88,299.98,35.48,248606.35,174806.63
11996.38,9409.35,40187.08,2398.31,272.71,5.76,328059.93,187293.27
38662.75,25055.72,83141.86,2696.08,396.02,42.59,184005.22,161925.23
11142.27,10933.04,77380.72,2922.29,191.3,11.86,247703.44,160514.94
17171.19,10601.35,27487.2,2612.38,430.09,25.4,270836.93,157528.83
46497.78,18035.39,135536.01,1077.27,85.09,28.07,62508.88,100563.17
48215.42,24695.42,40162.43,2463.37,441.38,40.57,357019.68,237636.17
5958.47,17428.22,77187.92,2162.55,132.68,42.06,370803.61,157625.78
10712.01,5523.59,12006.02,1118.52,153.81,20.88,64477.02,64550.07
16875.0,10248.28,17673.46,826.24,163.69,36.75,75983.87,46332.63
7778.12,10433.39,139138.53,2568.25,360.39,11.59,492357.42,211987.7
6158.63,9978.39,72541.88,1002.7,228.01,2.1,64228.45,72278.97
45230.0,20924.13,118269.67,1237.7,133.19,25.82,115737.28,111365.06
3535.74,16223.95,95029.13,694.14,440.42,16.02,387267.29,200134.61
36170.25,9411.03,104658.44,1271.14,478.22,31.21,464089.33,224996.14
30381.33,13805.65,38001.49,1494.6,484.18,0.15,494010.93,212524.89
3107.16,6956.42,149088.64,2703.39,103.69,40.61,32796.27,81313.23
33117.51,11453.75,148428.05,3403.08,207.45,13.47,100089.51,154317.91
14975.83,16815.16,154262.9,1196.43,25.76,15.67,146828.25,119235.01
4445.25,17540.43,36905.57,733.65,398.63,40.28,435038.21,149783.8
38013.21,19066.08,143562.1,3021.47,10.14,31.98,243157.98,194466.73
36939.86,25355.96,27573.97,2769.27,489.58,19.64,117991.78,139216.84
42258.96,18279.12,26668.83,349.42,337.52,20.74,277908.97,141217.93
45521.8,28018.4,54884.52,1850.05,172.96,14.56,203374.69,156027.75
26571.95,24681.65,32576.03,325.29,259.82,16.23,405610.4,196132.36
22805.79,8202.35,125616.89,3327.21,287.39,39.81,422999.7,223606.04
40917.28,27852.06,99420.59,1846.81,242.61,19.77,342074.02,192160.8
7068.34,3973.28,50981.56,1986.05,307.04,11.62,161474.82,119300.09
45205.33,26009.91,168465.54,1534.82,304.02,22.11,307488.56,194968.73
25810.17,7089.06,62653.35,2588.53,323.02,25.65,372008.51,186864.78
27043.73,11928.0,130060.68,891.12,185.71,33.73,473133.67,190557.67
28828.78,23635.95,57050.97,1837.09,276.24,9.64,460474.07,244400.53
31199.14,15429.03,57197.65,1156.41,187.61,26.94,317193.21,176544.55
38475.83,18754.62,103263.48,2206.52,439.28,7.31,350309.05,236241.5
49782.21,29501.51,95862.11,2528.76,188.0,12.21,339311.38,209594.27
46470.56,22629.8,137248.56,1665.74,26.05,11.78,282159.72,189632.93
25039.79,18535.05,91150.65,1372.06,177.23,2.76,312479.5,150296.62
34756.17,18796.43,45549.56,2039.59,495.93,18.98,193156.76,171539.62
16626.03,8006.97,136647.41,1937.64,180.77,38.8,326446.39,168016.9
42786.28,14687.71,65426.15,525.5,259.95,33.92,331616.13,184115.09
15573.19,14838.96,46864.48,1277.85,351.2,2.5,338441.71,193019.57
18970.41,6934.32,49530.75,2208.71,162.45,0.5,90940.09,95133.66
37934.76,24434.03,141229.75,863.64,196.59,45.11,286974.57,166097.14
17275.99,4812.65,71115.79,3049.16,174.16,31.77,351184.39,208343.91
21885.97,14411.92,47710.2,2118.27,437.39,36.78,105833.36,126729.38
42376.02,17903.13,44085.91,2418.64,247.6,24.84,453415.07,232958.78
43183.42,22490.91,92138.45,1269.87,228.97,2.7,180660.08,153929.41
32856.13,22177.93,26087.48,2311.03,62.44,45.69,178144.63,136151.55
32284.91,17026.58,51448.9,1783.83,220.88,23.05,137547.59,106658.82
25180.72,19515.09,161524.37,1261.46,80.82,16.32,390579.55,179214.59
41093.14,13800.11,17850.23,1136.13,148.58,35.44,291096.23,156631.8
34999.11,14334.97,53367.8,1781.23,311.48,35.79,59444.97,93093.05
14418.57,14252.75,86542.17,1076.14,410.12,40.49,367480.72,143477.23
40103.94,19444.94,46408.72,2713.15,499.8,1.43,137193.17,129023.54
1296.85,15924.03,138285.26,821.52,414.9,12.37,455952.39,218053.6
29128.72,10420.87,27152.61,2976.83,291.82,20.44,227908.43,175283.61
26572.47,21949.52,26060.03,472.69,306.3,32.19,54346.85,76189.67
14351.94,13724.99,132497.15,3358.12,83.52,35.97,328058.57,206146.05
31511.88,12651.72,138751.17,1710.76,39.72,44.67,236604.76,121500.8
16759.49,23044.87,163926.59,1268.63,177.66,48.57,107676.61,98129.74
38156.68,25960.72,87555.81,2397.47,166.44,38.21,370090.26,231319.87
39711.46,16660.82,108488.8,2170.9,415.91,5.23,403322.73,239111.77
46461.98,16759.92,18979.57,2489.46,155.9,18.32,303412.69,188056.85
43358.07,23769.15,96638.68,1505.29,185.67,43.66,152615.08,134755.42
4281.92,2074.99,66749.46,2506.04,142.47,28.7,81754.94,86803.95
11501.99,11235.68,38884.43,1509.39,173.39,23.21,163503.22,113383.26
17647.06,21715.04,146638.97,2763.66,338.01,32.95,348534.93,203492.54
22134.6,21302.26,162969.74,2766.4,238.76,43.36,338492.79,204589.52
23769.3,19036.04,81911.36,2500.54,78.02,41.56,297168.94,148721.51
42043.25,23510.48,111651.22,2495.61,315.29,14.47,463611.96,253073.06
22396.71,20390.47,43478.87,2716.45,376.17,32.76,171365.65,178577.68
11348.49,2935.54,86178.18,2743.42,430.04,27.52,22277.13,74095.83
3074.96,19880.72,122690.98,3598.12,48.82,19.8,285147.6,189292.88
